start training...
Epoch: 9700, Train Loss: 0.001587, Test Loss: 0.001820
Epoch: 9800, Train Loss: 0.001549, Test Loss: 0.001771
Epoch: 9900, Train Loss: 0.001585, Test Loss: 0.001887
Epoch: 10000, Train Loss: 0.001535, Test Loss: 0.001751
Epoch: 10100, Train Loss: 0.001530, Test Loss: 0.001751
Epoch: 10200, Train Loss: 0.001523, Test Loss: 0.001768
Epoch: 10300, Train Loss: 0.001487, Test Loss: 0.001709
Epoch: 10400, Train Loss: 0.001638, Test Loss: 0.001759
Epoch: 10500, Train Loss: 0.001478, Test Loss: 0.001706
Epoch: 10600, Train Loss: 0.001537, Test Loss: 0.001798
Epoch: 10700, Train Loss: 0.001462, Test Loss: 0.001675
Epoch: 10800, Train Loss: 0.001460, Test Loss: 0.001666
Epoch: 10900, Train Loss: 0.001418, Test Loss: 0.001640
Epoch: 11000, Train Loss: 0.001408, Test Loss: 0.001630
Epoch: 11100, Train Loss: 0.001403, Test Loss: 0.001621
Epoch: 11200, Train Loss: 0.001386, Test Loss: 0.001613
Epoch: 11300, Train Loss: 0.001377, Test Loss: 0.001600
Epoch: 11400, Train Loss: 0.001393, Test Loss: 0.001605
Epoch: 11500, Train Loss: 0.001367, Test Loss: 0.001584
Epoch: 11600, Train Loss: 0.001356, Test Loss: 0.001581
Epoch: 11700, Train Loss: 0.001377, Test Loss: 0.001649
Epoch: 11800, Train Loss: 0.001670, Test Loss: 0.002125
Epoch: 11900, Train Loss: 0.001674, Test Loss: 0.002229
Epoch: 12000, Train Loss: 0.001339, Test Loss: 0.001547
Epoch: 12100, Train Loss: 0.001299, Test Loss: 0.001522
Epoch: 12200, Train Loss: 0.001301, Test Loss: 0.001522
Epoch: 12300, Train Loss: 0.001373, Test Loss: 0.001608
Epoch: 12400, Train Loss: 0.001322, Test Loss: 0.001508
Epoch: 12500, Train Loss: 0.001260, Test Loss: 0.001487
Epoch: 12600, Train Loss: 0.001258, Test Loss: 0.001480
Epoch: 12700, Train Loss: 0.001253, Test Loss: 0.001475
Epoch: 12800, Train Loss: 0.001235, Test Loss: 0.001460
Epoch: 12900, Train Loss: 0.001224, Test Loss: 0.001450
Epoch: 13000, Train Loss: 0.001222, Test Loss: 0.001447
Epoch: 13100, Train Loss: 0.001218, Test Loss: 0.001445
Epoch: 13200, Train Loss: 0.001201, Test Loss: 0.001425
Epoch: 13300, Train Loss: 0.001238, Test Loss: 0.001438
Epoch: 13400, Train Loss: 0.001182, Test Loss: 0.001409
Epoch: 13500, Train Loss: 0.001173, Test Loss: 0.001402
Epoch: 13600, Train Loss: 0.001196, Test Loss: 0.001419
Epoch: 13700, Train Loss: 0.001157, Test Loss: 0.001384
Epoch: 13800, Train Loss: 0.001159, Test Loss: 0.001384
Epoch: 13900, Train Loss: 0.001321, Test Loss: 0.001655
Epoch: 14000, Train Loss: 0.001135, Test Loss: 0.001364
Epoch: 14100, Train Loss: 0.001138, Test Loss: 0.001365
Epoch: 14200, Train Loss: 0.001120, Test Loss: 0.001351
Epoch: 14300, Train Loss: 0.001109, Test Loss: 0.001340
Epoch: 14400, Train Loss: 0.001116, Test Loss: 0.001344
Epoch: 14500, Train Loss: 0.001096, Test Loss: 0.001329
Epoch: 14600, Train Loss: 0.001092, Test Loss: 0.001323
Epoch: 14700, Train Loss: 0.001162, Test Loss: 0.001365
Epoch: 14800, Train Loss: 0.001148, Test Loss: 0.001487
Epoch: 14900, Train Loss: 0.001063, Test Loss: 0.001296
Epoch: 15000, Train Loss: 0.001053, Test Loss: 0.001289
Epoch: 15100, Train Loss: 0.001044, Test Loss: 0.001282
Epoch: 15200, Train Loss: 0.001044, Test Loss: 0.001278
Epoch: 15300, Train Loss: 0.001044, Test Loss: 0.001289
Epoch: 15400, Train Loss: 0.001022, Test Loss: 0.001262
Epoch: 15500, Train Loss: 0.001027, Test Loss: 0.001261
Epoch: 15600, Train Loss: 0.001062, Test Loss: 0.001270
Epoch: 15700, Train Loss: 0.001132, Test Loss: 0.001488
Epoch: 15800, Train Loss: 0.000994, Test Loss: 0.001236
Epoch: 15900, Train Loss: 0.000993, Test Loss: 0.001234
