(5999, 50)
start training...
Epoch: 9600, Train Loss: 0.001545, Test Loss: 0.001925
Epoch: 9700, Train Loss: 0.001532, Test Loss: 0.001913
Epoch: 9800, Train Loss: 0.001513, Test Loss: 0.001900
Epoch: 9900, Train Loss: 0.001512, Test Loss: 0.001896
Epoch: 10000, Train Loss: 0.002532, Test Loss: 0.002359
Epoch: 10100, Train Loss: 0.001474, Test Loss: 0.001867
Epoch: 10200, Train Loss: 0.001560, Test Loss: 0.001872
Epoch: 10300, Train Loss: 0.001443, Test Loss: 0.001844
Epoch: 10400, Train Loss: 0.001431, Test Loss: 0.001834
Epoch: 10500, Train Loss: 0.001523, Test Loss: 0.002062
Epoch: 10600, Train Loss: 0.001526, Test Loss: 0.001836
Epoch: 10700, Train Loss: 0.001429, Test Loss: 0.001818
Epoch: 10800, Train Loss: 0.001459, Test Loss: 0.001882
Epoch: 10900, Train Loss: 0.001416, Test Loss: 0.001835
Epoch: 11000, Train Loss: 0.001446, Test Loss: 0.001852
Epoch: 11100, Train Loss: 0.001373, Test Loss: 0.001787
Epoch: 11200, Train Loss: 0.001330, Test Loss: 0.001762
Epoch: 11300, Train Loss: 0.001319, Test Loss: 0.001753
Epoch: 11400, Train Loss: 0.001312, Test Loss: 0.001746
Epoch: 11500, Train Loss: 0.001298, Test Loss: 0.001738
Epoch: 11600, Train Loss: 0.001288, Test Loss: 0.001731
Epoch: 11700, Train Loss: 0.001294, Test Loss: 0.001743
Epoch: 11800, Train Loss: 0.001277, Test Loss: 0.001717
Epoch: 11900, Train Loss: 0.001279, Test Loss: 0.001740
Epoch: 12000, Train Loss: 0.001478, Test Loss: 0.001756
Epoch: 12100, Train Loss: 0.001809, Test Loss: 0.002028
Epoch: 12200, Train Loss: 0.001869, Test Loss: 0.001785
Epoch: 12300, Train Loss: 0.001235, Test Loss: 0.001709
Epoch: 12400, Train Loss: 0.001286, Test Loss: 0.001708
Epoch: 12500, Train Loss: 0.001235, Test Loss: 0.001772
Epoch: 12600, Train Loss: 0.001193, Test Loss: 0.001669
Epoch: 12700, Train Loss: 0.001181, Test Loss: 0.001661
Epoch: 12800, Train Loss: 0.001452, Test Loss: 0.001889
Epoch: 12900, Train Loss: 0.001159, Test Loss: 0.001650
Epoch: 13000, Train Loss: 0.001162, Test Loss: 0.001646
Epoch: 13100, Train Loss: 0.001143, Test Loss: 0.001632
Epoch: 13200, Train Loss: 0.001254, Test Loss: 0.001696
Epoch: 13300, Train Loss: 0.001154, Test Loss: 0.001642
Epoch: 13400, Train Loss: 0.001113, Test Loss: 0.001620
Epoch: 13500, Train Loss: 0.001115, Test Loss: 0.001650
Epoch: 13600, Train Loss: 0.001218, Test Loss: 0.001674
Epoch: 13700, Train Loss: 0.001189, Test Loss: 0.001608
Epoch: 13800, Train Loss: 0.001160, Test Loss: 0.001685
Epoch: 13900, Train Loss: 0.001078, Test Loss: 0.001604
Epoch: 14000, Train Loss: 0.001091, Test Loss: 0.001601
Epoch: 14100, Train Loss: 0.001063, Test Loss: 0.001584
Epoch: 14200, Train Loss: 0.001053, Test Loss: 0.001576
Epoch: 14300, Train Loss: 0.001107, Test Loss: 0.001640
Epoch: 14400, Train Loss: 0.001116, Test Loss: 0.001606
Epoch: 14500, Train Loss: 0.001564, Test Loss: 0.001913
Epoch: 14600, Train Loss: 0.001120, Test Loss: 0.001594
Epoch: 14700, Train Loss: 0.001031, Test Loss: 0.001570
Epoch: 14800, Train Loss: 0.001388, Test Loss: 0.001855
Epoch: 14900, Train Loss: 0.001013, Test Loss: 0.001551
Epoch: 15000, Train Loss: 0.001001, Test Loss: 0.001541
Epoch: 15100, Train Loss: 0.001028, Test Loss: 0.001580
Epoch: 15200, Train Loss: 0.001008, Test Loss: 0.001550
Epoch: 15300, Train Loss: 0.001014, Test Loss: 0.001563
Epoch: 15400, Train Loss: 0.001002, Test Loss: 0.001531
Epoch: 15500, Train Loss: 0.000999, Test Loss: 0.001565
